avg_outflow,avg_inflow,total_grid,Am,BOD,COD,TN,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day
3.238,3.635,270652,34,420,1130,67.315,18.4,33.6,8.7,0,35,0,10,28.3,64.8,85.2,2014,12,16
3.429,4.027,247302,34,533.5,1067,64.953,15.9,23,8.5,0,48,0,0,16.1,29.4,0,2014,12,17
4.893,5.121,229587,30,460,920,63.931,15,24.4,9,0,61,1.78,9.8,21.7,61.1,63,2014,12,18
3.598,4.028,271184,34,290,755,60,23.2,33.3,10.6,0,47,0,9.8,14.3,35.2,0,2014,12,21
3.418,3.735,266258,34,405,810,61.24,22.7,26,15.8,0,67,0.51,10,9.4,22.2,0,2014,12,22
3.257,3.552,257576,25,415,830,63.201,17.9,28.7,10,0,67,0,9.8,18.5,31.7,0,2014,12,23
3.269,4.05,246012,30,345,690,62.061,14.1,19.9,7.9,0,57,0,10,17.2,31.7,50,2014,12,26
3.06,3.744,222378,34,370,680,63.227,24.1,33.4,10.7,0,32,0,0,16.7,35.2,51.9,2014,12,28
3.848,3.984,186601,34,415,830,63.885,16.6,28.6,10.6,0,48,1.02,10,27.8,53.5,79.5,2014,12,29
3.492,3.835,200055,41,405,810,62.243,15.9,24.2,8,0,52,0,10,21.9,44.6,59.4,2014,12,30
3.499,3.793,219828,42,470,940,66.354,19.4,32,10.8,0,63,0,10,14.3,35.2,0,2015,1,1
3.546,4.045,214449,40,365,730,62.019,16.8,24.8,11,0,64,0,10,17.6,31.7,0,2015,1,4
3.863,4.326,221233,39,360,900,70,18.7,24.6,11.3,0,65,0,10,16.3,25.9,0,2015,1,5
4.137,4.487,271295,29,465,930,65.049,22.7,33,13.8,0,62,0,9.3,14.4,37,51.9,2015,1,6
3.689,4.051,310031,38,482.5,965,65.878,29.2,40.3,16.3,0,43,1.52,10,20.9,50,61.1,2015,1,7
1.795,3.704,259810,37,442.5,885,64.523,21.9,29.9,16,0,72,2.79,8,14.4,35.2,53.5,2015,1,8
3.044,4.3,184752,32,375,750,61.668,20.5,28.1,14.8,0,69,0,10,17.6,31.7,0,2015,1,11
2.809,4.459,185148,36,425,850,65.531,25.3,31.2,14.6,0,49,0,10,17.6,35.2,46.5,2015,1,12
3.634,3.719,287118,40,350,865,63.885,21.1,25.5,17,0,78,11.18,10.6,24.8,46.5,64.8,2015,1,13
3.026,3.651,292543,32,355,710,61.396,17.4,22.6,14,0,72,0,10,28.5,42.4,53.5,2015,1,14
3.095,3.713,266493,39,405.5,811,61.591,15.1,20.5,9.6,0,71,0,10,17.2,29.4,0,2015,1,15
3.035,3.402,203637,50,405,810,62.214,15.7,20.1,11.6,0,52,0,10,23.2,31.7,46.5,2015,1,18
3.327,3.527,226385,40,395,790,62.569,17.2,24,10,0,55,0,0,21.5,42.4,63,2015,1,19
3.213,2.713,251356,44,422,844,64.522,23.8,30.1,10.1,0,47,0,10,20,38.9,57.6,2015,1,20
3.38,4.108,258384,50,320,945,68,24.9,33.7,17,0,50,0,8.4,16.9,35.2,0,2015,1,21
4.411,5.017,236364,53,425.5,851,65.531,25.4,36,16.7,0,52,0,0,15.7,37,46.5,2015,1,22
4.127,4.055,234543,49,450,900,64.523,20,29.6,11.9,0,58,0,9.8,18.1,35.2,46.5,2015,1,24
4.035,4.2,236791,38,340,680,62.218,15.3,21.5,7.5,0,54,0,10,23.2,33.5,0,2015,1,26
3.056,3.916,269257,39,360,720,61.814,15.9,20.5,11,0,58,0,10,25.2,35.2,48.2,2015,1,27
4.1,5.32,268005,38,405,810,61.591,17.6,25.5,10.7,0,52,0,10,28,50,63,2015,1,28
5.985,4.579,202419,43,290,875,64.522,16.4,22.8,10.4,0,57,0,10,25.6,42.4,55.4,2015,1,29
2.146,3.882,184654,49,290,580,58.389,15.8,23,12,0,71,0.51,9.7,24.3,33.5,51.9,2015,1,31
4.605,4.563,223394,40,346.5,693,62.317,15.7,19,12.2,0,74,1.52,10,24.6,33.5,50,2015,2,1
4.75,6.509,210924,32,380,760,62.023,17.4,23.6,13.9,0,64,0,10,21.7,35.2,0,2015,2,2
5.969,6.553,241560,31,397.5,795,62.061,17.2,22.7,13.7,0,58,0,10,22.8,31.7,46.5,2015,2,3
5.969,6.302,247056,43,350,865,73,15.3,20.2,10.6,0,66,0.25,10,19.1,35.2,0,2015,2,4
6.361,7.9,235506,42,452.5,905,64.366,19.1,28,10.1,0,63,0,10,15.9,27.8,0,2015,2,5
4.879,4.666,246107,38,420,840,64.366,17.1,26.7,13,0,67,0,10,21.3,29.4,0,2015,2,8
4.272,4.533,242358,35,383.5,767,61.866,19.9,28,12.7,0,64,0,10,15.9,27.8,0,2015,2,9
3.71,4.105,224013,36,370,840,65.531,23.9,31.1,14.9,0,58,0,0,16.9,40.7,0,2015,2,10
3.658,4.028,228766,36,425,850,65.531,22.1,35.4,15.9,0,61,0,10,22,38.9,0,2015,2,11
4.355,4.672,252061,37,370,740,62.023,18.9,28,14,0,63,0,10,15.6,37,0,2015,2,12
4.082,3.767,265724,38,407.5,815,61.339,20.1,26.9,14.7,0,79,0,10,12.4,27.8,35.2,2015,2,14
3.082,3.859,264516,30,340,680,62.443,26.2,34.7,14.6,0,41,0,10,14.8,29.4,0,2015,2,15
3.894,4.117,249175,38,350,890,74,19.5,28.8,15.6,0,64,0,10,21.3,31.7,0,2015,2,16
3.758,3.917,251137,39,435,870,64.256,17.6,20.7,16,0,75,0,10,15.4,20.6,0,2015,2,17
3.744,3.799,242665,42,455,910,64.411,18.7,21.6,15.8,0,78,0,10,15.9,24.1,0,2015,2,18
3.037,3.801,234605,36,375,750,62.875,21.5,31,15,0,70,0,10,13,25.9,0,2015,2,19
4.186,4.223,252788,39,350,610,58.754,27.8,37,19,0,42,0,10,24.1,48.2,63,2015,2,22
3.418,3.737,256896,36,333.5,667,61.396,17.9,30,14.9,0,67,13.72,9.2,22.2,38.9,55.4,2015,2,23
3.428,4.257,243380,33,395,790,62.023,16.7,20.5,13.7,0,64,0,10,18.3,33.5,48.2,2015,2,24
3.729,4.16,209192,33,390,780,61.866,20.4,27.6,13.5,0,66,0,10,12.8,22.2,0,2015,2,25
3.419,3.883,252085,50,550,1100,68.82,19,25.3,13.9,0,72,0,10,13.5,24.1,0,2015,2,26
4.189,4.452,294669,36,335,670,61.396,15,21.6,9,0,70,0,10,18.3,33.5,0,2015,3,1
4.18,4.032,305444,37,360,610,56,18.5,24.1,8.7,0,59,0,10,10.6,16.5,0,2015,3,2
4.483,4.823,291851,40,395,790,61.591,17.3,23,13,0,67,0,10,12.4,22.2,0,2015,3,3
3.9,4.039,291310,46,350,700,61.885,17.8,25,9,0,51,0.25,9.7,22.8,42.4,63,2015,3,4
3.312,3.895,249632,41,415,830,64.522,15.4,20.3,9.2,0,49,0,10,25.7,38.9,55.4,2015,3,5
3.465,3.716,251624,43,465,930,64.523,16.4,20.8,12,0,80,1.02,10,17.6,37,51.9,2015,3,6
3.493,3.789,248311,39,330,660,62.317,18.1,24.4,12.2,0,60,0,10,15.6,33.5,46.5,2015,3,9
3.521,3.787,290098,36,540,1260,68.82,16.1,23.3,10,0,61,0,10,12.8,24.1,0,2015,3,10
3.519,3.61,277457,35,375,750,61.434,17.6,26.6,9.3,0,57,0,10,15,29.4,0,2015,3,11
3.536,3.835,278587,39,365,730,61.942,15.9,20,10.2,0,52,0,9.8,25,35.2,48.2,2015,3,12
2.961,3.605,294721,39,290,580,58.616,13.8,21,8.5,0,69,0,10,19.3,35.2,55.4,2015,3,15
3.173,3.717,286156,36,360,720,61.591,21.3,24.2,7.7,0,40,0,0,20.4,40.7,59.4,2015,3,16
3.599,3.532,268211,44,641,1282,68.82,21.4,27,14.7,0,48,1.27,9,29.1,53.5,64.8,2015,3,17
2.934,3.992,209680,44,360,860,62,20.2,26,14.6,0,62,0,10,20.7,57.6,74.1,2015,3,18
4.147,3.606,228052,42,415,830,65.531,19.8,33,10,0,52,0,10,28.9,61.1,79.5,2015,3,19
3.561,4.495,267762,43,380,760,62.441,23.2,28,8.2,0,38,0,10,28,44.6,63,2015,3,22
3.697,4.166,276968,44,440,880,64.477,18,27,11.9,0,58,0,10,23.9,40.7,59.4,2015,3,23
3.47,3.516,254816,36,850,1700,68.82,13.4,15,10.7,0,56,0,10,19.8,31.7,0,2015,3,24
2.946,3.578,288791,48,470,940,65.114,14,21,7,0,54,0,10,15.9,33.5,51.9,2015,3,25
2.962,3.68,293262,37,540,1027,65.114,14.5,19,6.9,0,51,0,10,29.6,44.6,61.1,2015,3,26
3.049,2.972,257723,43,380,760,61.451,16,24,6.6,0,58,0,0,13.1,24.1,0,2015,3,29
3.696,4.259,260068,35,350,855,58,16.1,24,8.4,0,64,0,10,12,27.8,0,2015,3,30
2.987,3.816,264152,34,420,970,64.477,19.8,27,9.2,0,50,0,0,18.1,44.6,59.4,2015,3,31
3.751,3.804,261656,49,570,1140,68.82,21.5,30,10,0,42,0,10,28,44.6,61.1,2015,4,1
3.266,3.687,199607,42,370,740,61.186,13.2,19,5.2,0,67,0,10,18.1,27.8,0,2015,4,3
3.147,3.608,203120,38,410,820,62.061,16.4,18,7.2,0,40,0,0,10.4,20.6,0,2015,4,6
2.698,3.47,235405,35,480,885,65.59,12.3,17,8.4,0,82,8.89,8.5,27,40.7,59.4,2015,4,7
2.977,2.679,266782,26,432.5,865,62.94,12.5,17,6.6,0,76,0,10,16.3,31.7,0,2015,4,8
3.418,4.126,263134,36,495,990,64.757,12.9,18.3,6.2,0,72,0,10,14.8,22.2,0,2015,4,9
3.267,3.522,283802,38,310,620,59.316,11.5,18.3,5,0,73,0,10,13.1,27.8,0,2015,4,12
3.231,3.635,290642,30,475,950,65.114,14.6,21,12,0,68,0,9.5,8.5,14.8,0,2015,4,13
2.963,3.603,307803,37,442.5,885,63.995,19.3,25,16,0,56,0,10,24.6,38.9,57.6,2015,4,14
2.972,3.445,328693,30,590,900,66,19.6,27,14,0,64,0,10,21.9,51.9,70.6,2015,4,15
3.364,3.901,324639,37,480,960,65.114,13.3,18,8,0,70,0,10,11.1,25.9,0,2015,4,16
3.018,4.054,226162,29,320,640,60.632,9.6,13,5,0,66,0,10,21.1,46.5,57.6,2015,4,19
3.789,3.732,281335,43,480,960,64.28,10.1,15.3,5,0,65,0,10,19.3,35.2,0,2015,4,20
3.418,3.37,349614,34,395,790,61.24,12,17,7,0,71,0,10,16.9,31.7,0,2015,4,21
3.93,6.605,222194,29,342.5,685,61.866,14.8,18.1,11.5,0,82,0,10,19.8,31.7,0,2015,4,22
5.774,9.622,299114,29,510,970,65.114,14.9,17,12,0,86,0,9.3,12,20.6,0,2015,4,23
3.277,4.007,346056,26,387.5,775,59.603,11.3,15.2,9.9,0,78,0,9.7,22.2,33.5,0,2015,4,26
4.23,3.846,309250,34,485,970,65.114,11.3,14.4,8,0,78,0,10,14.6,25.9,0,2015,4,27
2.91,3.144,317141,35,367.5,735,60.406,10.5,15,5.8,0,82,0,10,12,25.9,0,2015,4,28
4.702,5.906,259241,42,520,945,62,10.4,17,6,0,74,0,10,11.1,18.3,0,2015,4,29
4.401,4.079,300014,42,460,920,63.004,11.9,19,5,0,69,0,10,11.7,22.2,0,2015,4,30
3.844,4.465,322354,35,367.5,735,60.406,11.6,18,6.5,0,78,0,9.3,12.4,22.2,0,2015,5,3
4.272,5.115,316828,33,370,740,61.591,17.2,22,11.8,0,49,0,9.3,36.9,55.4,75.9,2015,5,4
4.468,4.126,278662,34,430,860,63.949,12.1,16,8,0,56,0,10,27,57.6,75.9,2015,5,5
3.571,3.874,262781,49,460,920,64.523,10.9,16,8,0,68,0,9.7,23,40.7,51.9,2015,5,6
3.659,3.822,275288,34,530,940,65.114,11.1,14.3,9,0,71,0,10,21.5,42.4,50,2015,5,7
3.572,4.096,329601,35,305,610,56.089,12.9,15,10,0,73,0,9.7,28,44.6,61.1,2015,5,10
3.535,3.935,307695,35,372.5,745,61.396,13.6,15.2,12,0,66,0,9.8,22,38.9,53.5,2015,5,11
3.566,4.077,351864,33,380,760,60.563,9,16.2,5,0,69,0,9.8,29.1,51.9,70.6,2015,5,12
3.434,4.018,361830,25,290,570,40,9.3,12,7,0,73,0,10,24.3,33.5,50,2015,5,13
3.396,3.711,341750,30,325,650,61.24,12.2,15,10.5,0,85,0,8.2,21.7,31.7,48.2,2015,5,14
4.316,5.744,374614,26,295,590,53.295,12.9,20,6,0,68,0,10,17.8,25.9,0,2015,5,17
3.429,3.224,359322,33,337.5,675,61.591,14.9,19,11,0,54,0,0,25,46.5,61.1,2015,5,18
4.392,4.919,263942,36,370,750,61.396,13.5,16,11,0,83,0,10,26.5,42.4,61.1,2015,5,19
3.505,3.748,361360,34,380,760,61.396,11.9,18,8.8,0,81,0,8.4,21.9,33.5,46.5,2015,5,20
3.882,4.158,368798,27,297.5,595,53.295,10.3,12,8,0,94,0,9,10.6,18.3,0,2015,5,21
3.653,3.961,334780,33,382.5,765,60.406,10.3,17,6,0,71,0,0,14.8,24.1,0,2015,5,24
3.244,3.697,361330,36,440,975,68,9.9,16,5,0,72,0,0,20.2,27.8,0,2015,5,25
3.38,3.786,378301,31,410,820,61.396,12.3,15,9.5,0,65,0,0,27.4,44.6,57.6,2015,5,26
3.558,3.979,324196,28,350,700,59.603,13.7,17,11.9,0,74,0,10,35.7,42.4,57.6,2015,5,27
3.815,4.688,307174,31,368,736,60.563,13.4,19,6,0,64,0,10,22.8,35.2,48.2,2015,5,28
3.865,3.716,246106,40,460,710,61.608,8.3,16,3,0,50,0,9.8,21.3,35.2,51.9,2015,5,31
2.958,3.652,267978,34,320,640,59.948,7.2,10,5,0,78,0,10,18,27.8,0,2015,6,1
3.699,3.979,266112,37,405,810,61.033,8.1,10,6,0,92,0,9.5,9.8,20.6,0,2015,6,2
3.483,3.633,295506,38,365,730,60.563,7.6,11,4,0,77,0,10,13,37,55.4,2015,6,3
2.989,3.54,303551,37,407.5,815,60.758,7.6,10,6.7,0,50,0,10,33.5,42.4,64.8,2015,6,4
3.651,3.837,285824,31,395,790,61.866,10.7,13,8.8,0,76,0,9.8,17.4,27.8,0,2015,6,5
3.453,4.079,275973,35,320,890,62,13.7,17,5,0,66,0,9.3,28.7,40.7,59.4,2015,6,8
3.096,3.286,313947,32,345,690,60.406,8.6,13,5,0,73,0,10,18.1,31.7,0,2015,6,9
3.068,3.367,294143,32,420,840,62.257,8.8,11.2,3,0,72,0,10,13,24.1,0,2015,6,10
2.971,3.194,312226,37,480.5,961,63.643,7.5,13,3,0,52,0,9.8,7.6,14.8,0,2015,6,11
2.96,3.452,307405,38,383.5,767,60.406,10.8,17,6,0,78,0,10,8.9,16.5,0,2015,6,14
2.967,3.434,266534,42,750,1500,68.183,12.6,17,10,0,50,0,7.2,5,20.6,0,2015,6,15
2.944,3.304,286756,40,440,920,63.155,12.7,15.2,11,0,56,0,10,8.3,22.2,0,2015,6,16
2.987,4.158,290286,40,450,900,63.201,11.8,14,9.8,0,56,0,9.8,14.4,25.9,0,2015,6,17
3,3.218,271786,34,456,912,62.895,8.7,11.3,5,0,54,0,10,15.9,29.4,0,2015,6,18
3.011,3.581,256123,38,562.5,1125,68.183,7.3,12,3,0,66,0,10,26.1,51.9,72.2,2015,6,21
3.022,3.512,264775,39,370,800,60.885,10.4,12,5,0,66,0,10,38.7,51.9,75.9,2015,6,22
3.26,3.471,329228,49,370,840,63.312,13.2,17,8.9,0,65,0,10,31.9,46.5,63,2015,6,23
3.023,3.18,235591,42,760,875,60,11.1,16,7.9,0,77,0,9.8,15.2,22.2,0,2015,6,24
3.022,3.105,255570,45,450,900,63.729,11.4,13,10,0,74,0,10,13.1,27.8,0,2015,6,25
3.013,3.188,272990,46,371,742,61.256,9.9,14,5,0,77,0,10,8.5,16.5,0,2015,6,28
3.024,3.138,266714,41,485,970,63.643,7.8,13,3.5,0,51,0,9.8,8.5,14.8,0,2015,6,29
3.019,3.154,277412,36,521,1042,64.12,9.8,12.4,5,0,70,0,10,9.8,15.3,0,2015,6,30
2.992,3.252,267615,35,437.5,875,63.84,11.1,14,9,0,59,0,9.5,22.2,33.5,51.9,2015,7,1
2.849,3.27,262835,33,360,730,61.19,7.3,11.1,3,0,70,0,10,18.1,40.7,70.6,2015,7,2
3.048,3.223,230251,44,515,1030,64.953,9.9,15,7,0,60,0,9.5,33.7,44.6,63,2015,7,5
2.961,3.204,228277,34,494,988,64.953,8.3,11,7,0,80,0,1,26.5,35.2,55.4,2015,7,6
2.653,3.292,268192,42,526.5,1053,63.643,8.1,14,2,0,83,0,10,12,22.2,0,2015,7,7
3.026,3.228,255014,42,370,884,66,10.7,14,8.7,0,71,0,10,17.2,25.9,0,2015,7,8
3.03,3.345,320720,37,490,980,63.643,9.7,12,6,0,71,0,10,22.6,35.2,0,2015,7,9
3.037,3.356,186893,25,340,680,59.396,9,11,6,0,92,0,5,28,38.9,55.4,2015,7,12
2.901,4.444,258631,20,250,500,53.152,8.7,12,6.8,0,77,0,10,24.6,33.5,0,2015,7,13
3.399,3.456,345185,31,200,593,54.531,5.9,9,3,0,81,0,10,20,50,59.4,2015,7,14
3.029,3.46,350890,37,327,654,60.406,7.4,9,5,0,82,0,10,9.8,20.6,0,2015,7,15
3.274,3.356,295550,38,395,790,61.033,8.4,12,6,0,79,0,9.7,21.1,29.4,0,2015,7,16
3.006,3.245,266787,30,440,880,60.852,5.2,13,-1,0,75,0,10,10,20.6,0,2015,7,19
3.607,3.818,208687,36,450,960,58,9.8,14,5,0,61,0,10,27,48.2,66.5,2015,7,20
3.008,3.381,256514,41,497.5,995,64.953,12.7,15.2,11,0,67,0,9.5,39.6,55.4,74.1,2015,7,21
3.007,3.36,264696,48,480,960,64.12,9.8,15.3,6,0,74,0,1,18.9,31.7,0,2015,7,22
3.108,3.437,279179,37,489,978,64.953,10.4,14,7,0,81,0,1,22.8,33.5,51.9,2015,7,23
3.155,3.242,288225,30,300,760,61.19,6.6,11,4,0,67,0,10,27.8,61.1,79.5,2015,7,26
3.403,3.741,301315,36,415,830,63.091,8.9,13,6.9,0,73,0,10,20.6,31.7,0,2015,7,27
2.998,3.713,306927,26,590,1180,68.183,9.9,14,5.8,0,74,0,1,13.9,22.2,0,2015,7,28
3.449,3.809,264852,26,488.5,977,64.953,9.3,13,7,0,67,0,1,28.9,55.4,63,2015,7,29
3.318,3.722,267722,40,495,990,64.12,7.8,11,4,0,73,0,1,32,64.8,87,2015,7,30
3.23,3.667,334956,41,425,850,62.479,10.1,14,6,0,62,0,9.8,27.4,38.9,55.4,2015,8,2
2.995,3.686,330269,32,340,1050,51,5.6,10,2,0,67,0,10,20,37,51.9,2015,8,3
3.575,3.621,328755,36,450,900,62.367,8.6,10,6,0,66,0,9.8,22,31.7,0,2015,8,4
2.984,3.577,341811,29,554,1108,68.183,7.4,11,4,0,76,0,9.8,23.9,40.7,59.4,2015,8,5
3.447,3.664,305398,28,400,800,58.612,9.3,13,6,0,85,0,10,17.2,31.7,0,2015,8,6
3.274,3.67,314875,42,440,880,63.248,9.5,12,7.8,0,72,0,10,31.9,57.6,74.1,2015,8,9
2.992,3.527,306061,45,460,920,62.524,9.8,15,6,0,69,0,10,27.2,53.5,74.1,2015,8,10
3.067,3.451,313726,27,360,952,63.312,10.9,14,7,0,57,0,10,31.1,48.2,72.2,2015,8,11
2.98,3.363,307656,23,500,1000,64.477,8.9,12,7,0,81,0,10,16.7,24.1,0,2015,8,12
2.979,3.342,297035,34,460,920,63.201,10.5,12,8,0,65,0,10,16.7,25.9,0,2015,8,13
4.322,4.798,315056,47,415,830,63.312,11.3,15,8,0,67,0,9.3,21.7,35.2,51.9,2015,8,16
3.305,3.744,363624,45,450,900,62.524,6.6,11,4,0,77,0,10,18.7,33.5,0,2015,8,17
3.215,3.779,335108,43,412.5,825,60.757,7.8,10,5.6,0,78,0,10,6.3,16.5,0,2015,8,18
2.924,3.764,317375,42,470,840,61,8.8,13,4.7,0,64,0,10,16.1,44.6,57.6,2015,8,19
3.098,3.658,338254,44,470,940,64.477,13,16,11,0,55,0,0,39.3,51.9,70.6,2015,8,20
3.261,3.536,324078,45,410,820,61.463,10.9,16,7,0,74,0,10,15.2,22.2,0,2015,8,23
3.056,2.88,342521,44,415,830,63.248,10.3,12,9,0,73,0,10,28,37,53.5,2015,8,24
2.702,3.948,291742,47,438,876,63.091,9.9,13,7,0,76,0,9.8,17.4,31.7,0,2015,8,25
3.454,3.39,310756,46,503.5,1007,64.477,11.1,15,8.6,0,72,0,9.8,7.4,13,0,2015,8,26
3.289,3.545,225561,42,310,735,61.198,9.4,11.2,6.6,0,92,0,9.3,17.2,29.4,0,2015,8,27
2.994,3.475,258161,41,380,760,60.728,8.7,11,6.5,0,78,0,10,13.7,22.2,0,2015,8,30
2.997,3.303,247673,36,425,850,62.83,8.4,13,1.8,0,68,0,10,11.7,20.6,0,2015,8,31
3.091,3.322,271978,40,492.5,985,64.477,11.2,16,9,0,59,0,10,22.2,37,61.1,2015,9,1
2.954,3.449,283458,37,330,880,60,12.3,18,9,0,73,0,10,15.4,37,53.5,2015,9,2
3.033,3.306,298037,51,500,1000,63.643,9.4,13.1,4,0,79,0,10,17.8,35.2,0,2015,9,3
3.01,3.31,296488,50,417,834,63.312,10.8,15,8,0,66,0,9.8,29.3,50,68.3,2015,9,6
3.025,3.28,255120,43,435,870,63.293,9.4,12,8,0,71,0,9.5,22.6,40.7,59.4,2015,9,7
3.012,3.247,263866,48,340,780,61.632,10.3,13,9,0,77,0,8.9,17,31.7,0,2015,9,8
1.868,3.394,299105,48,455,910,63.201,10.9,14,8,0,74,0,10,14.4,31.7,0,2015,9,9
3.491,3.356,284981,45,470,940,64.12,9.3,16,4,0,77,0,10,13.5,29.4,0,2015,9,10
2.934,3.38,246534,36,413,826,62.218,18.8,24,15,0,49,0,0,32.4,48.2,59.4,2015,9,13
3.136,3.385,296682,30,380,769,52,18,25.7,9.9,0,55,0,9,27.8,48.2,57.6,2015,9,14
2.99,3.261,288903,29,313.5,627,58.136,10.6,16,6,0,69,0,10,18.5,35.2,0,2015,9,15
4.36,5.105,304905,33,380,760,61.339,10.6,15,7,0,77,0,9.8,11.7,27.8,0,2015,9,16
5.116,6.025,289703,26,313.5,627,57.178,10.9,14,8.8,0,78,0,9.7,14.3,27.8,0,2015,9,17
5.381,5.589,286984,36,350,747,62.218,16.8,22,13,0,55,0,10,26.9,42.4,53.5,2015,9,20
3.229,3.711,248065,37,494,988,64.12,10.1,17.1,5.9,0,69,0,10,22.2,37,51.9,2015,9,21
3.659,3.554,244697,49,426,852,63.006,8.1,12,4.9,0,64,0,10,23,42.4,57.6,2015,9,22
3.003,3.592,228784,54,661,1322,68.183,8.6,12.6,4,0,62,0,10,18.5,31.7,0,2015,9,23
3.257,3.476,236778,51,449,898,62.895,9.1,15,1.9,0,74,0,10,15.4,27.8,0,2015,9,24
3.3,3.735,230818,38,442.5,885,63.097,13.3,21,5,0,53,0,10,13.7,33.5,0,2015,9,27
3.289,3.578,208883,45,514,1028,64.12,13.3,22,6,0,56,0,10,13.9,22.2,0,2015,9,28
3.033,3.472,236426,48,458.5,917,63.774,12.3,17,9.8,0,67,0,10,14.4,27.8,0,2015,9,29
2.978,3.435,277242,54,570,1193,86,10,17,4,0,66,0,10,17.6,25.9,0,2015,9,30
3.124,3.376,201316,41,449.5,899,63.931,21.6,28,17,0,33,0,0,31.3,51.9,68.3,2015,10,2
2.969,3.296,238051,39,479,958,64.953,18.5,28,11,0,53,0,0,13.3,27.8,0,2015,10,4
2.959,3.336,223142,40,434,868,64.849,26.4,34.1,19,0,23,0,0,33.5,48.2,59.4,2015,10,5
3.181,3.61,275130,43,442,884,64.367,19.2,35,9,0,35,0,10,30.6,64.8,98.2,2015,10,6
2.979,3.479,303446,45,454,908,63.403,11.5,16,8,0,60,0,10,20.7,33.5,0,2015,10,7
2.998,3.712,285342,46,560,996,64.477,15.4,25,9,0,62,0,0,12.8,33.5,0,2015,10,8
3.369,3.546,280161,39,439.5,879,63.091,15.3,26,10,0,79,0,7.4,18,31.7,0,2015,10,11
2.974,3.365,239798,39,418,836,62.303,11.3,15,5,0,71,0,10,17.6,29.4,0,2015,10,12
2.953,3.418,277537,35,342,684,61.24,13.4,21,7,0,71,0,10,12.6,29.4,0,2015,10,13
2.964,3.272,302267,44,430,582,68,22,28,17,0,46,0,10,23.3,38.9,50,2015,10,14
2.979,3.551,293161,42,254,508,58.616,24.4,34,16,0,25,0,0,19.3,44.6,66.5,2015,10,15
2.963,3.463,271285,37,415,830,62.322,12.4,19,6,0,66,0,0,13.1,22.2,35.2,2015,10,18
4.107,4.156,239881,35,427.5,855,63.729,19.4,28,10,0,36,0,0,17.4,31.7,0,2015,10,19
2.99,3.394,264259,48,420,865,64.849,23.2,32,15,0,47,0,9.5,18.3,35.2,51.9,2015,10,20
2.927,3.297,262920,34,470,940,64.953,12.4,18,10,0,79,0,9.8,22.8,33.5,0,2015,10,21
2.834,3.001,290372,40,450,900,63.886,12.1,16,10,0,73,0,9.7,21.9,33.5,48.2,2015,10,22
2.855,2.95,271698,36,400,800,63.227,22,32,13,0,35,0,9.7,29.8,53.5,68.3,2015,10,25
2.129,2.891,265113,48,380,1115,70,11.9,16,9,0,70,0,10,26.9,40.7,55.4,2015,10,26
2.488,2.748,237002,48,470,940,64.953,15.7,23,8,0,47,0,10,18.9,44.6,0,2015,10,27
2.544,3.127,261331,48,645,1290,68.183,17.8,26,10,0,49,0,6.3,16.1,33.5,35.2,2015,10,28
3.355,3.706,268448,48,485,970,64.953,19.2,26,10.7,0,43,0,0,13.7,31.7,0,2015,10,29
3.412,3.319,248447,50,380,760,62.374,17.1,26,13,0,76,0,9.5,15.9,38.9,57.6,2015,11,1
2.898,3.221,267357,50,380,845,63.136,14.1,18,9,0,68,0,10,12.6,20.6,0,2015,11,3
2.889,3.279,278282,53,495,990,64.477,20.5,27,16.8,0,72,0,7.7,15.6,29.4,61.1,2015,11,4
2.897,3.364,244110,33,360,720,62.023,18.7,24,15,0,82,0,10,14.6,63,81.7,2015,11,5
3.36,3.641,303666,37,325,650,61.591,19.3,26,13,0,34,0,0,16.3,35.2,50,2015,11,8
3.065,3.574,300547,49,430.5,861,64.321,22.8,34,14,0,41,0,9.2,18.1,33.5,51.9,2015,11,9
3.152,3.459,277916,50,552.5,1105,68.183,12.3,15,10.8,0,79,0,9.8,18,29.4,0,2015,11,10
3.076,3.451,291609,50,580,1110,92,14.8,18,12,0,50,0,9.7,9.4,14.8,0,2015,11,11
2.887,3.337,301484,50,530,1060,64.477,16.5,23,12,0,75,0,10,16.7,27.8,0,2015,11,12
3.22,3.508,238098,43,437.5,875,63.136,14.9,22,10.8,0,71,0,10,16.5,25.9,0,2015,11,15
3.276,3.663,253699,42,405,810,61.942,21.3,27,14,0,45,0,0,20.2,44.6,59.4,2015,11,16
2.992,3.551,258243,47,487.5,975,65.717,19.4,33,10,0,42,0,9.8,17.6,44.6,61.1,2015,11,17
2.993,3.442,277745,47,530,1060,64.477,25.1,29,20,0,34,0,10,15.9,35.2,57.6,2015,11,18
3.123,3.859,262671,50,380,945,64.367,20.1,33,14,0,64,0,9.8,16.7,44.6,53.5,2015,11,19
3.189,3.419,272561,50,420,840,63.201,15.3,21,12,0,61,0,10,15,27.8,0,2015,11,22
3.173,3.384,305234,50,450,900,63.201,15.4,21,9.8,0,63,0,10,15.4,29.4,0,2015,11,23
3.902,4.112,265673,41,585,1170,68.183,18.3,27,11,0,50,0,10,16.3,42.4,53.5,2015,11,24
3.403,3.796,267475,42,450,1030,72,23.4,34,8,0,26,0,10,40.2,68.3,92.4,2015,11,25
3.203,3.431,275814,46,545,1090,68.183,11.3,17,5,0,47,0,10,25.9,48.2,75.9,2015,11,26
